Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENWR 1101,1,,,3,10
UNIV 1001,1,,,3,13
ENWR 1301,1,,,3,15
MATH 1201,1,,,3,12
PHYS 2203,1,,MATH 1201,3,11
PHYS 2201,1,,,3,9
ENWR 1102,2,ENWR 1101,,3,20
UNIV 1002,2,UNIV 1001,,3,20
ENGR 1204,2,,,3,12
ENGR 2286,2,,,3,13
MATH 2202,2,MATH 1201,,3,15
PHYS 2204,2,PHYS 2203,,3,13
PHYS 2202,2,,,3,17
UNIV 2001,3,"UNIV 1002,ENWR 1101",,3,19
ENGR 3200,3,ENGR 1204,,3,11
EENG 2287,3,ENGR 2286,,3,16
MATH 2210,3,MATH 2202,,3,20
EENG 2221,3,"MATH 2202,PHYS 2204",,3,10
ENGR 2210,4,ENWR 1101,,3,20
UNIV 2002,4,UNIV 2001,,3,20
EENG 3288,4,EENG 2287,,3,9
ENGR 4221,4,MATH 2202,,3,10
EENG 2222,4,"MATH 2210,EENG 2221",,3,20
ENGR 4210,5,MATH 2202,,3,15
MATH 2203 ,5,MATH 2202,,3,14
EENG 3223,5,"MATH 2210,EENG 2222",,3,16
EENG 3265,5,EENG 2222,,3,18
MECH 2224,5,PHYS 2203,,3,19
CHEM 1201,6,,,3,17
CHEM 1203,6,,,3,14
ENGR 3341,6,MATH 2203,,3,13
EENG 3224,6,EENG 3223,,3,12
EENG 3266,6,EENG 3265,,3,17
ENGR 3000,6,,,3,15
Tech Elective,7,,,3,20
EENG 4342,7,Senior Status,,3,20
EENG 4260,7,Senior Status,,3,12
EENG 3244,7,"ENGR 3341,PHYS 2204",,3,11
EENG 4355,7,EENG 3223,,3,17
EENG 3267,7,"EENG 3266,EENG 2222",,3,18
Tech Electives ,8,,,3,14
EENG 4347,8,Senior Status,,3,16
EENG 4268,8,EENG 4260,,3,15
EENG 4341,8,EENG 3223,,3,18
