REC_ID,FILETERM,FTERMA,FILEDATE,COURSE,CRSLEVEL,CDEPT,CNUM,CTITLE,MINCREDS,MaxCredits,Grade,UGGR,FT_PT,REGCREDS,ADMSTAT,SPECSRV1,SPECSRV2,CATEGORY,ACADEMICPROGRAM,ACADEMICPROGRAMDESCRIPTION,STARTTRM,SEX,AGE,ALIEN,NEWETH,COMBETH,CLASS,CUMATT,CUMCRED,CUMGPA,CUMPTS,HSNAME,SATVERB,SATMATH,SATWRITE,ACT,Wordcount,ZYBooks_Timeliness,ZYBooks_Curiosity,Weighted_Midterm_Total,Weighted_Final_Total,Word_Count
3878,201509,201509,9/1/2015,EGTM_2232,2,EGTM,2232,Mechanical Measurement/Devices,3, ,C,UG,F,13,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,23, ,3,3,FR,0,0,0,0,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201509,201509,9/1/2015,ENGR_1301,1,ENGR,1301,"Engr Pract, Graphics and Des",3, ,B+,UG,F,13,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,23, ,3,3,FR,0,0,0,0,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201509,201509,9/1/2015,ENWR_1101,1,ENWR,1101,Academic Writing,3, ,B,UG,F,13,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,23, ,3,3,FR,0,0,0,0,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201509,201509,9/1/2015,MATH_1105,1,MATH,1105,College Algebra,4, ,C+,UG,F,13,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,23, ,3,3,FR,0,0,0,0,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,EGTC_1223,1,EGTC,1223,Introduction to CAD,2, ,A,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,ENGR_1204,1,ENGR,1204,Program Lang in Engineering,3, ,B+,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,ENWR_1102,1,ENWR,1102,Academic Research and Writing,3, ,B,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,MATH_1107,1,MATH,1107,Precalculus,4, ,B-,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,PHYS_2101,2,PHYS,2101,General Physics I,3, ,C,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
3878,201602,201602,2/1/2016,PHYS_2201,2,PHYS,2201,LAB: Physics I,1, ,A,UG,F,16,FRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,10/FA,M,24, ,3,3,FR,13,13,2.639,34.31,MEMORIAL HIGH SCHOOL,450,460,480, , ,1500,700,68.6,90.25,296
